Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
1 - XXX,SULLIVAN PROPERTY,DEPT. OF AGRICULTURE & NATURAL RESOU,HARTFORD,CT,"$5,000.00 ",1965,1967,Acquisition
3 - XXX,ADELMAN FIELD,TOWN OF BOZRAH,MIDDLESEX,CT,"$3,000.00 ",1965,1966,Acquisition
4 - XXX,STATE OUTDOOR RECREATION PLAN,DEPT. OF AGRICULTURE & NATURAL RESOU,PLANNING,CT,"$22,500.00 ",1965,1966,Planning
5 - XXX,COUTU PROPERTY,TOWN OF MANSFIELD,TOLLAND,CT,$300.00 ,1965,1967,Acquisition
2 - XXX,GOODWIN STATE FOREST,DEPT. OF AGRICULTURE & NATURAL RESOU,WINDHAM,CT,"$6,000.00 ",1965,1967,Acquisition
11 - XXX,TUNXIS STATE FOREST,DEPT. OF AGRICULTURE & NATURAL RESOU,HARTFORD,CT,"$2,900.00 ",1966,1967,Acquisition
6 - XXX,Frederick White Farm,TOWN OF DURHAM,MIDDLESEX,CT,"$27,610.00 ",1966,1966,Acquisition
18 - XXX,GILLETTE CASTLE STATE PARK,DEPT. OF AGRICULTURE & NATURAL RESOU,MIDDLESEX,CT,"$2,510.00 ",1966,1967,Acquisition
16 - XXX,HAMMONASSET BEACH STATE PARK,DEPT. OF AGRICULTURE & NATURAL RESOU,NEW HAVEN,CT,"$480,792.68 ",1966,1967,Development
14 - XXX,ROCKY NECK STATE PARK,DEPT. OF AGRICULTURE & NATURAL RESOU,NEW LONDON,CT,"$96,015.97 ",1966,1967,Development
20 - XXX,BALAZY PROPERTY ACQUISITION,DEPT. OF AGRICULTURE & NATURAL RESOU,NEW LONDON,CT,"$32,630.00 ",1966,1968,Acquisition
12 - XXX,DREESEN ESTATE,TOWN OF MANSFIELD,TOLLAND,CT,"$23,250.00 ",1966,1967,Acquisition
7 - XXX,BRAMWELL ESTATE,DEPT. OF AGRICULTURE & NATURAL RESOU,WINDHAM,CT,"$25,000.00 ",1966,1968,Acquisition
