Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
1 - XXX,STATE OUTDOOR RECREATION PLAN,DEPT. OF PARKS & RECREATION,PLANNING,ME,21738.16,1965,1967,Planning
10 - XXX,POLAND SPRING STATE PARK,DEPT. OF PARKS & RECREATION,ANDROSCOGGIN,ME,40416.75,1966,1969,Acquisition
2 - XXX,CRESCENT BEACH STATE PARK,DEPT. OF PARKS & RECREATION,CUMBERLAND,ME,272986.37,1966,1969,Development
5 - XXX,SEBAGO LAKE,DEPT. OF PARKS & RECREATION,CUMBERLAND,ME,6578.00,1966,1968,Acquisition
14 - XXX,COFFIN POND PARK,DEPT. OF PARKS & RECREATION,CUMBERLAND,ME,48248.01,1966,1968,Development
8 - XXX,RANGELEY LAKE STATE PARK,DEPT. OF PARKS & RECREATION,FRANKLIN,ME,249986.58,1966,1969,Development
23 - XXX,MT. BLUE STATE PARK,DEPT. OF PARKS & RECREATION,FRANKLIN,ME,39122.55,1966,1969,Development
9 - XXX,CAMDEN SNOW BOWL,TOWN OF CAMDEN,KNOX,ME,55060.00,1966,1969,Development
12 - XXX,CAMDEN HILLS STATE PARK,DEPT. OF PARKS & RECREATION,KNOX,ME,8517.77,1966,1968,Development
15 - XXX,ROCKPORT PARK,TOWN OF ROCKPORT,KNOX,ME,3851.60,1966,1967,Development
25 - XXX,PUBLIC BOAT FACILITIES,TOWN OF ST. GEORGE,KNOX,ME,33371.29,1966,1970,Development
18 - XXX,KNICKERKANE ISLAND PARK,TOWN OF BOOTHBAY,LINCOLN,ME,6056.63,1966,1967,Development
19 - XXX,CROSBY PARK,TOWN OF DEXTER,PENOBSCOT,ME,3653.00,1966,1967,Development
27 - XXX,PRINCE H. THOMAS PARK,TOWN OF LINCOLN,PENOBSCOT,ME,20240.00,1966,1969,Combination
11 - XXX,UPDATE STATE OUTDOOR REC PLAN,DEPT. OF PARKS & RECREATION,PLANNING,ME,15850.84,1966,1968,Planning
6 - XXX,FORT POPHAM,DEPT. OF PARKS & RECREATION,SAGADAHOC,ME,17200.00,1966,1969,Development
13 - XXX,RICHMOND PARK LANDING,DEPT. OF PARKS & RECREATION,SAGADAHOC,ME,21015.66,1966,1970,Combination
17 - XXX,SWAN ISLAND CAMPGROUND,DEPT. OF PARKS & RECREATION,SAGADAHOC,ME,25265.10,1966,1968,Development
3 - XXX,FORT KNOX,DEPT. OF PARKS & RECREATION,WALDO,ME,45653.47,1966,1971,Development
4 - XXX,CAPE JELLISON,DEPT. OF PARKS & RECREATION,WALDO,ME,14674.00,1966,1967,Acquisition
7 - XXX,MOOSE POINT STATE PARK,DEPT. OF PARKS & RECREATION,WALDO,ME,22542.75,1966,1969,Combination
24 - XXX,WARREN ISLAND STATE PARK,DEPT. OF PARKS & RECREATION,WALDO,ME,11412.01,1966,1968,Development
28 - XXX,ALLAGASH WATERWAY,DEPT. OF PARKS & RECREATION,ANDROSCOGGIN,ME,1450023.44,1967,1974,Combination
38 - XXX,PORTAGE LAKE PUBLIC BEACH,TOWN OF LAKE PORTAGE,AROOSTOOK,ME,2797.95,1967,1968,Development
39 - XXX,THOMAS PARK,TOWN OF NEW SWEDEN,AROOSTOOK,ME,3075.00,1967,1970,Development
29 - XXX,DUNDEE PARK,TOWN OF WINDHAM,CUMBERLAND,ME,36727.98,1967,1972,Combination
30 - XXX,RIVERSIDE MUNICIPAL GOLF COURSE,CITY OF PORTLAND,CUMBERLAND,ME,56375.00,1967,1968,Development
