Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
6 - XXX,MT. SUNAPEE STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,234861.29,1965,1968,Development
8 - XXX,STATE OUTDOOR RECREATION PLAN,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,31412.80,1965,1969,Planning
9 - XXX,PAWTUCKAWAY STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,580251.32,1966,1968,Combination
14 - XXX,BELKNAP RECREATION AREA,BELKNAP COUNTY,BELKNAP,NH,21039.77,1967,1968,Development
15 - XXX,SANBORNTON RECREATION POND,TOWN OF SANBORNTON,BELKNAP,NH,1982.07,1967,1969,Development
16 - XXX,GILFORD VILLAGE FIELD,TOWN OF GILFORD,BELKNAP,NH,19361.70,1967,1970,Development
11 - XXX,FRANCONIA NOTCH STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,724110.30,1967,1974,Development
10 - XXX,SILVER LAKE STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,HILLS,NH,1125.00,1967,1969,Acquisition
12 - XXX,BEAVER MEADOW MUNICIPAL GOLF COU,CITY OF CONCORD,MERRIMACK,NH,68419.53,1967,1969,Development
17 - XXX,KENSINGTON RECREATION AREA,TOWN OF KENSINGTON,ROCKINGHAM,NH,2043.77,1967,1970,Development
18 - XXX,MOUNT WASHINGTON SUMMIT STATE PA,DEPT. OF RESOURCES & ECONOMIC DEV.,COOS,NH,24889.74,1968,1970,Development
21 - XXX,PINARDVILLE PLAYGROUND,TOWN OF GOFFSTOWN,HILLS,NH,14000.00,1968,1968,Development
24 - XXX,ODELL PARK,CITY OF FRANKLIN,MERRIMACK,NH,19592.85,1968,1970,Development
20 - XXX,SOUTHWESTERN STATE PARK (PISGAH),DEPT. OF RESOURCES & ECONOMIC DEV.,MULTI-COUNTY,NH,813370.23,1968,1973,Acquisition
26 - XXX,BELKNAP-PHELPS SKI TOW,BELKNAP COUNTY,BELKNAP,NH,16288.02,1969,1969,Development
28 - XXX,INTER-LAKES RECREATION AREA,INTER-LAKES SCHOOL DIST.,BELKNAP,NH,20867.06,1969,1971,Development
34 - XXX,ASHLAND MEMORIAL PARK,TOWN OF ASHLAND,GRAFTON,NH,4830.00,1969,1970,Acquisition
23 - XXX,DERRYFIELD SKI SLOPE,CITY OF MANCHESTER,HILLS,NH,351446.93,1969,1977,Combination
27 - XXX,GREGG LAKE BEACH,TOWN OF ANTRIM,HILLS,NH,2700.00,1969,1969,Development
30 - XXX,PINARDVILLE POOL,TOWN OF GOFFSTOWN,HILLS,NH,21000.00,1969,1970,Development
32 - XXX,GREENVILLE SWIMMING POOL,TOWN OF GREENVILLE,HILLS,NH,35219.24,1969,1971,Development
29 - XXX,MINE FALLS PARK,CITY OF NASHUA,HILLSBOROUGH,NH,175000.00,1969,1973,Acquisition
31 - XXX,BEAR BROOK STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,10237.50,1969,1970,Acquisition
33 - XXX,BELKNAP AREA III,BELKNAP COUNTY,BELKNAP,NH,77581.86,1970,1971,Development
39 - XXX,BELKNAP AREA 4,BELKNAP COUNTY,BELKNAP,NH,318516.43,1970,1972,Development
40 - XXX,FOSS MOUNTAIN,TOWN OF EATON,CARROLL,NH,14700.00,1970,1971,Acquisition
37 - XXX,FLUME I,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,18413.69,1970,1971,Development
41 - XXX,PLYMOUTH RECREATION AREA II,PLYMOUTH SCHOOL DIST.,GRAFTON,NH,24410.98,1970,1975,Development
44 - XXX,BEDELL BRIDGE,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,10550.00,1970,1971,Acquisition
35 - XXX,BARNARD PLAYGROUND,TOWN OF GOFFSTOWN,HILLS,NH,52074.25,1970,1971,Development
42 - XXX,FRASER MEMORIAL FIELD,TOWN OF HOOKSETT,MERRIMACK,NH,10426.08,1970,1971,Development
43 - XXX,CONTOOCOOK RIVER PARK,CITY OF CONCORD,MERRIMACK,NH,19787.00,1970,1971,Acquisition
38 - XXX,FORT DEARBORN STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,38239.34,1970,1973,Development
46 - XXX,NEWPORT RECREATION AREA,TOWN OF NEWPORT,SULLIVAN,NH,4000.00,1970,1971,Acquisition
55 - XXX,JACKSON MEMORIAL PARK,TOWN OF JACKSON,CARROLL,NH,12296.80,1971,1973,Combination
56 - XXX,WHITAKER WOODS,TOWN OF CONWAY,CARROLL,NH,20000.00,1971,1972,Acquisition
51 - XXX,ASHUELOT RIVER PARK,CITY OF KEENE,CHESHIRE,NH,10000.00,1971,1972,Acquisition
50 - XXX,SOUTH ESKER PARK,TOWN OF HANOVER,GRAFTON,NH,10000.00,1971,1972,Acquisition
49 - XXX,CORNING ROAD PARK,CITY OF LITCHFIELD,HILLSBOROUGH,NH,7828.29,1971,1976,Combination
