Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
2 - XXX,OCEAN DRIVE STATE PARK,DEPT. OF NATURAL RESOURCES,NEWPORT,RI,"$236,578.84 ",1965,1971,Acquisition
4 - XXX,STILLWATER STATE PARK,DEPT. OF NATURAL RESOURCES,PROVIDENCE,RI,"$31,866.45 ",1965,1971,Acquisition
6 - XXX,JOHN L. CURRAN STATE PARK,DEPT. OF NATURAL RESOURCES,PROVIDENCE,RI,"$127,946.86 ",1965,1972,Acquisition
1 - XXX,EAST MATUNUCK STATE BEACH,DEPT. OF NATURAL RESOURCES,WASHINGTON,RI,"$63,462.88 ",1965,1972,Acquisition
3 - XXX,STATE OUTDOOR RECREATION PLAN,DEPT. OF NATURAL RESOURCES,PLANNING,RI,"$23,717.57 ",1966,1968,Planning
5 - XXX,MOOSUP VALLEY PARK,TOWN OF FOSTER,PROVIDENCE,RI,"$1,150.00 ",1966,1966,Acquisition
16 - XXX,COLT PARK DEVELOPMENT,DEPT. OF ENVIRONMENTAL MANAGEMENT,BRISTOL,RI,"$827,596.98 ",1967,1977,Development
24 - XXX,GODDARD PARK,DEPT. OF NATURAL RESOURCES,KENT,RI,"$12,851.77 ",1967,1969,Development
30 - XXX,EAST GREENWICH BOAT LAUNCH,TOWN OF EAST GREENWICH,KENT,RI,"$6,649.50 ",1967,1968,Acquisition
33 - XXX,UPPER DAM POND,TOWN OF COVENTRY,KENT,RI,"$7,409.50 ",1967,1969,Acquisition
36 - XXX,FLAT TOP POND,TOWN OF WEST WARWICK,KENT,RI,"$20,192.50 ",1967,1969,Acquisition
32 - XXX,FORT ADAMS,DEPT. OF NATURAL RESOURCES,NEWPORT,RI,"$7,406.52 ",1967,1968,Development
37 - XXX,BULGARMARSH RECREATION AREA,TOWN OF TIVERTON,NEWPORT,RI,"$23,384.27 ",1967,1970,Combination
17 - XXX,DIAMOND HILL STATE PARK,DEPT. OF ENVIRONMENTAL MANAGEMENT,PROVIDENCE,RI,"$5,119.18 ",1967,1974,Acquisition
22 - XXX,GLOCESTERTOWN FOREST PARK,TOWN OF GLOCESTER,PROVIDENCE,RI,"$9,462.75 ",1967,1968,Acquisition
34 - XXX,COMMERCIAL STREET ACQUISITION,CITY OF CRANSTON,PROVIDENCE,RI,"$3,014.90 ",1967,1968,Acquisition
35 - XXX,MOOSUP VALLEY PARK,TOWN OF FOSTER,PROVIDENCE,RI,"$3,644.70 ",1967,1968,Development
38 - XXX,SHIPYARD PLAYGROUND,CITY OF PROVIDENCE,PROVIDENCE,RI,"$16,030.07 ",1967,1968,Development
7 - XXX,COCUMSCUSSOC STATE PARK,DEPT. OF NATURAL RESOURCES,WASHINGTON,RI,"$135,522.06 ",1967,1973,Acquisition
14 - XXX,GALILEA RECREATION AREA,DEPT. OF NATURAL RESOURCES,WASHINGTON,RI,"$20,340.46 ",1967,1967,Development
15 - XXX,POINT JUDITH POND,DEPT. OF NATURAL RESOURCES,WASHINGTON,RI,"$37,961.91 ",1967,1969,Acquisition
18 - XXX,FORT GREENE STATE PARK,DEPT. OF NATURAL RESOURCES,WASHINGTON,RI,"$324,752.96 ",1967,1973,Development
19 - XXX,BURLINGAME STATE PARK,DEPT. OF NATURAL RESOURCES,WASHINGTON,RI,"$10,997.25 ",1967,1967,Acquisition
26 - XXX,BURLINGAME STATE PARK,DEPT. OF NATURAL RESOURCES,WASHINGTON,RI,"$271,720.84 ",1967,1973,Development
28 - XXX,S. SHORE BARRIER BEACHES REC & CONS.,DEPT. OF ENVIRONMENTAL MANAGEMENT,WASHINGTON,RI,"$328,468.94 ",1967,1972,Acquisition
46 - XXX,WUJCIK FARM,TOWN OF WARREN,BRISTOL,RI,"$30,900.00 ",1968,1970,Acquisition
