
Docket ID,Docket Title,Agency,Docket Type,Petition Number,RIN,
"EPA-HQ-OW-2018-0149","Revised Definition of “Waters of the United States” ","EPA","Rulemaking",N/A,"2040-AF75",


Document Title,Document Type,Attachment Count,Submitter Last Name,Submitter First Name,Organization,Document ID,Posted Date,Received Date,Comment Start Date,Comment Due Date,Implementation Date,Effective Date,Related RINs,Document SubType,Subject,Abstract,Status,Source Citation,OMB Approval Number,FR Citation,Federal Register Number,Start End Page,Special Instructions,Legacy ID,Post Mark Date,File Type,Number Of Pages,Paper Width,Paper Length,Exhibit Type,Exhibit Location,Document Field_1,Document Field_2,Document Detail
"Comment submitted by D. Suters","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7614","05/01/2019","04/12/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7614
"Comment submitted by J. Redden","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9736","05/07/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9736
"Comment submitted by Arla Strasser, Board Chair, Saratoga-Encampment-Rawlins Conservation District","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-5152","04/24/2019","04/12/2019",N/A,N/A,N/A,N/A,N/A,"Company/Organization Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5152
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7471","05/01/2019","04/12/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7471
"Comment submitted by A. Petersen","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-6158","04/29/2019","03/26/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/26/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6158
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-7617","05/01/2019","04/12/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/12/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7617
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9740","05/07/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9740
"Comment submitted by M. B. Hoover","PUBLIC SUBMISSIONS","1",N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-10637","05/08/2019","04/13/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/13/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10637
"Comment submitted by J. Winston","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-0866","03/13/2019","03/06/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"03/06/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0866
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9149","05/07/2019","04/13/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/13/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9149
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OW-2018-0149-9741","05/07/2019","04/15/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"04/15/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-9741
