Docket ID,Docket Title,Agency,Docket Type,Petition Number,RIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA-HQ-OW-2018-0149,Revised Definition of “Waters of the United States” ,EPA,Rulemaking,N/A,2040-AF75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Document Type,Attachment Count,Submitter Last Name,Submitter First Name,Organization,Document ID,Posted Date,Received Date,Comment Start Date,Comment Due Date,Implementation Date,Effective Date,Related RINs,Document SubType,Subject,Abstract,Status,Source Citation,OMB Approval Number,FR Citation,Federal Register Number,Start End Page,Special Instructions,Legacy ID,Post Mark Date,File Type,Number Of Pages,Paper Width,Paper Length,Exhibit Type,Exhibit Location,Document Field_1,Document Field_2,Document Detail,,,
"WITHDRAWN: The Documentation of OMB Review Under Executive Order 12866"" form had inadvertently selected that a ""Redline-Strikeout"" documentation of changes would be available in the docket (i.e.", had checked the (2)(a) box)," when in fact a ""Note to the file"" had actually been provided (i.e.", the (2)(c) box should have been checked,"  as it is in the corrected version). A corrected version of ""Documentation of OMB Review Under Executive Order 1286"" has been placed in the docket.""",WITHDRAWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"WITHDRAWN: The Documentation of OMB Review Under Executive Order 12866"" form had inadvertently selected that a ""Redline-Strikeout"" documentation of changes would be available in the docket (i.e.", had checked the (2)(a) box)," when in fact a ""Note to the file"" had actually been provided (i.e.", the (2)(c) box should have been checked,"  as it is in the corrected version). A corrected version of ""Documentation of OMB Review Under Executive Order 1286"" has been placed in the docket.""",WITHDRAWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"WITHDRAWN: The Documentation of OMB Review Under Executive Order 12866"" form had inadvertently selected that a ""Redline-Strikeout"" documentation of changes would be available in the docket (i.e.", had checked the (2)(a) box)," when in fact a ""Note to the file"" had actually been provided (i.e.", the (2)(c) box should have been checked,"  as it is in the corrected version). A corrected version of ""Documentation of OMB Review Under Executive Order 1286"" has been placed in the docket.""",WITHDRAWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
Revised Definition of Waters of the United States,PROPOSED RULES,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-0003,2/14/19,2/14/19,2/14/19,4/15/19,N/A,N/A,N/A,N/A,N/A,"Federal Register of  Thursday, February 14, 2019 (84 FR 4154) (FRL-9988-15-OW)",Posted,N/A,N/A,84,2019-00791,4154 - 4220,N/A,N/A,N/A,html,67,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0003,,,
Definition of Waters of the United States: Public Hearing,PROPOSED RULES,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-0001,12/28/18,12/28/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Federal Register of Friday, December 28, 2018 (83 FR 67174) (FRL-9988-72-
OW)",Posted,N/A,N/A,83,2018-28296,67174 - 67175,N/A,N/A,N/A,html,2,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0001,,,
"Public Hearings: Revised Definition of ""Waters of the United States""",PROPOSED RULES,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-0002,2/7/19,2/7/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Federal Register of  Thursday, February 07, 2019 (84 FR 2483)",Posted,N/A,N/A,N/A,2019-01483,2483 - 2484,N/A,N/A,N/A,html,2,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-0002,,,
"Comment submitted by Arla Strasser, Board Chair, Saratoga-Encampment-Rawlins Conservation District",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5152,4/24/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5152,,,
"Comment submitted by Jacob Rash, President, North Carolina Chapter of the American Fisheries Society (NCAFS)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5297,4/24/19,4/14/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/14/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5297,,,
"Comment submitted by Patrick M. Comins, Executive Director, Connectuct Audubon Society",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8146,5/1/19,4/18/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8146,,,
"Comment submitted by Will Drost, President and Manager, Tower Land Company, L. L. C.",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5086,4/23/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5086,,,
